Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
LCID,"Lucid Group, Inc.",2.1600,+0.1100,+5.37%,200.074M,129.557M,6.589B,--,-31.65%
NVDA,NVIDIA Corporation,159.34,+2.09,+1.33%,142.314M,239.365M,3.886T,51.23,+24.29%
INTC,Intel Corporation,22.49,+0.61,+2.79%,60.704M,88.713M,98.101B,--,-33.83%
F,Ford Motor Company,11.81,+0.04,+0.34%,60.311M,111.801M,46.963B,9.45,-9.01%
TSLA,"Tesla, Inc.",315.35,-0.30,-0.10%,58.042M,118.5M,1.016T,182.28,+24.67%
HOOD,"Robinhood Markets, Inc.",94.40,-3.58,-3.65%,56.374M,44.958M,83.301B,53.94,+327.34%
WULF,TeraWulf Inc.,5.26,+0.22,+4.37%,53.226M,43.252M,2.049B,--,-3.84%
CIFR,Cipher Mining Inc.,6.05,+0.37,+6.51%,47.639M,24.508M,2.246B,--,+30.95%
SOFI,"SoFi Technologies, Inc.",18.57,+0.45,+2.48%,44.098M,66.622M,20.527B,43.19,+192.44%
IREN,IREN Limited,16.82,+1.16,+7.41%,42.478M,18.633M,4.068B,--,+14.97%
PLTR,Palantir Technologies Inc.,134.36,+2.24,+1.70%,41.812M,97.535M,317.077B,584.17,+385.05%
BMNR,"Bitmine Immersion Technologies, Inc.",135.00,+76.50,+130.77%,36.104M,11.09M,818.545M,--,"+1,641.94%"
AAPL,Apple Inc.,213.55,+1.11,+0.52%,34.697M,62.011M,3.19T,33.21,-6.26%
RGTI,"Rigetti Computing, Inc.",13.45,+0.37,+2.83%,34.467M,48.843M,4.341B,--,"+1,193.27%"
RUN,Sunrun Inc.,10.50,+1.51,+16.80%,33.499M,22.714M,2.399B,--,-17.00%
CNC,Centene Corporation,33.31,-0.47,-1.39%,32.984M,7.039M,16.575B,4.91,-49.68%
BTG,B2Gold Corp.,3.6600,0.0000,0.00%,32.577M,52.714M,4.857B,--,+32.13%
NU,Nu Holdings Ltd.,13.60,+0.11,+0.82%,32.596M,61.188M,65.612B,30.91,+5.92%
MARA,"MARA Holdings, Inc.",17.66,-0.14,-0.79%,32.143M,44.768M,6.215B,--,-9.44%
AAL,American Airlines Group Inc.,11.69,+0.06,+0.52%,30.238M,60.367M,7.71B,11.69,+6.95%
DDOG,"Datadog, Inc.",155.15,+20.14,+14.92%,29.997M,5.301M,53.582B,330.11,+17.18%
QBTS,D-Wave Quantum Inc.,16.79,+0.81,+5.07%,29.877M,66.337M,5.246B,--,"+1,254.03%"
AMZN,"Amazon.com, Inc.",223.41,+3.49,+1.59%,29.295M,47.654M,2.372T,36.39,+12.10%
OSCR,"Oscar Health, Inc.",16.47,-0.15,-0.90%,29.008M,13.534M,4.195B,41.17,+2.11%
AMD,"Advanced Micro Devices, Inc.",137.91,-0.61,-0.44%,28.332M,47.29M,223.607B,100.66,-22.82%
STLA,Stellantis N.V.,10.31,-0.02,-0.19%,28.051M,17.425M,29.816B,4.75,-47.07%
RIOT,"Riot Platforms, Inc.",12.17,-0.03,-0.25%,27.425M,35.538M,4.348B,--,+29.47%
PFE,Pfizer Inc.,25.38,+0.06,+0.24%,27.105M,46.255M,144.295B,18.39,-9.13%
PSLV,Sprott Physical Silver Trust,12.54,+0.11,+0.88%,25.116M,35.646M,6.607B,4.12,+19.66%
SOUN,"SoundHound AI, Inc.",11.09,-0.16,-1.42%,24.813M,31.434M,4.455B,--,+164.05%
