Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
NVDA,NVIDIA Corporation,202.94,-4.10 -1.98% 109.619M 178.003M 4.941T 49.62 +55.95%,86.62,212.19
CMG,"Chipotle Mexican Grill, Inc.",33.38,-6.38 -16.03% 72.729M 18.281M 44.765B 37.32 -28.71%,38.30,66.74
ABEV,Ambev S.A.,2.27,+0.09 +3.90% 69.306M 38.75M 35.951B 13.14 0.00%,1.76,2.64
PFE,Pfizer Inc.,24.41,+0.12 +0.49% 66.07M 49.92M 138.784B 13.10 -14.17%,20.92,28.64
OPEN,Opendoor Technologies Inc.,7.22,-0.43 -5.65% 64.754M 268.411M 5.313B -- +337.14%,0.51,10.87
NOK,Nokia Oyj,7.24,-0.09 -1.23% 64.658M 39.23M 39.194B 22.40 +55.63%,3.91,8.19
META,"Meta Platforms, Inc.",674.63,-77.04 -10.25% 64.183M 11.925M 1.695T 26.79 +32.43%,479.80,796.25
BTG,B2Gold Corp.,4.89,+0.12 +2.41% 52.903M 45.618M 6.463B -- +43.67%,2.20,5.94
PLUG,Plug Power Inc.,2.69,-0.07 -2.58% 52.832M 103.322M 3.105B -- +40.82%,0.69,4.58
GOOGL,Alphabet Inc.,285.57,+11.00 +4.01% 51.991M 33.019M 3.458T 22.69 +60.46%,140.53,275.34
BBAI,"BigBear.ai Holdings, Inc.",6.88,-0.02 -0.33% 50.262M 110.423M 2.549B -- +333.96%,1.51,10.36
F,Ford Motor Company,13.21,-0.03 -0.19% 48.381M 87.98M 52.591B 15.09 +28.67%,8.44,13.97
TSLA,"Tesla, Inc.",443.98,-17.47 -3.78% 47.292M 86.537M 1.432T 199.04 +84.71%,214.25,488.54
BITF,Bitfarms Ltd.,4.22,-0.04 -0.94% 46.368M 79.903M 2.332B -- +121.30%,0.67,6.60
DNN,Denison Mines Corp.,3.22,+0.05 +1.43% 45.601M 82.188M 2.883B -- +50.95%,1.08,3.42
SOFI,"SoFi Technologies, Inc.",29.58,-1.32 -4.27% 44.494M 70.059M 35.421B 52.18 +176.63%,8.60,32.57
